Ecological.Group,Strategy,Wt.Best,Wt.High,Wt.Low
Naturalized open habitat spp,S6,60.625,71.25,43.75
Naturalized open habitat spp,S7,65,73.75,47.5
Naturalized open habitat spp,S8,62.5,70.625,46.25
Naturalized open habitat spp,S9,65.625,75,48.125
Naturalized open habitat spp,S10,74.375,82.5,55
Naturalized open habitat spp,S11,77.5,85.5,61.25
Naturalized open habitat spp,S12,71.875,80.625,55
Naturalized open habitat spp,S13,69.375,77.5,51.25
Naturalized open habitat spp,S14,71.25,79.375,55.625
Naturalized open habitat spp,S15,80.625,88,65.625
Oak savannah species,Baseline,44.166666666666664,55,29.999999999999996
Oak savannah species,S1,65.83333333333333,76.66666666666666,44.166666666666664
Oak savannah species,S2,60,69.16666666666667,42.5
Oak savannah species,S3,67.5,75,46.66666666666666
Oak savannah species,S4,60,68.33333333333333,44.16666666666666
Oak savannah species,S5,44.166666666666664,55,29.999999999999996
Oak savannah species,S6,58.33333333333333,66.66666666666667,39.166666666666664
Oak savannah species,S7,65,72.5,45.83333333333333
Oak savannah species,S8,54.166666666666664,62.5,37.5
Oak savannah species,S9,60,69.16666666666667,41.666666666666664
Oak savannah species,S10,64.16666666666666,72.5,44.166666666666664
Oak savannah species,S11,65.83333333333333,74.16666666666666,46.66666666666666
Oak savannah species,S12,59.166666666666664,69.16666666666667,40.83333333333333
Oak savannah species,S13,66.66666666666666,76.66666666666666,47.5
Oak savannah species,S14,66.66666666666666,75,46.66666666666666
Oak savannah species,S15,72.5,81.66666666666666,54.16666666666666
Riparian species,Baseline,47.5,57.5,32.5
Riparian species,S1,52.5,61.875,35
Riparian species,S2,55.625,63.125,40
Riparian species,S3,61.875,70.625,46.25
Riparian species,S4,65,73.75,49.375
Riparian species,S5,48.75,58.75,33.75
Riparian species,S6,55,63.125,40.625
Riparian species,S7,66.25,73.75,48.75
Riparian species,S8,54.375,61.875,41.25
Riparian species,S9,62.5,70.625,44.375
Riparian species,S10,67.5,75,49.375
Riparian species,S11,68.75,77.5,51.875
