"total_cost","strategies","species_groups","threshold","number_of_species","budget.max","annual_cost"
0,"Baseline","",50,0,0,0
27475428.26,"S3","Working landscapes species",50,1,27475428.26,1499175.04633829
1779493840.61,"S11","Forest species | Naturalized open habitat spp | Sandy species | Working landscapes species",50,4,1779493840.61,97096676.1904516
