Strategy,Cost.0disc,avg.Feas
Baseline,0,1
S1,28630505.49,0.55
S2,100966624,0.65
S3,27475428.26,0.42
S4,1461944349,0.51
S5,88506157.7,0.67
S6,96336615.85,0.44
S7,216582867.4,0.62
S8,57628763.85,0.6
S9,305089025.1,0.64
S10,1678527217,0.57
S11,1779493841,0.59
S12,1489419778,0.47
S13,245213372.8,0.58
S14,186070816.1,0.56
S15,2078071312,0.56
